,Albany,Big Horn,Campbell,Carbon,Converse,Crook,Fremont,Goshen,Hot Springs,Johnson,Laramie,Lincoln,Natrona,Niobrara,Park,Platte,Sheridan,Sublette,Sweetwater,Teton,Uinta,Washakie
January,19,10,30,11,6,5,32,13,10,11,87,9,97,1,26,5,24,3,24,6,16,5
February,18,7,23,8,1,3,29,15,6,7,66,8,89,3,14,4,21,4,28,6,7,8
March,18,10,18,20,8,3,36,10,3,9,67,5,76,4,25,5,29,2,32,12,13,6
April,25,12,23,10,11,5,32,9,3,6,76,14,68,2,21,12,23,0,25,6,18,10
May,17,5,19,8,6,8,39,8,6,2,76,14,69,1,23,6,23,5,27,4,17,11
June,14,9,28,14,10,2,25,10,8,5,78,16,75,1,23,5,18,4,30,6,9,12
July,19,15,27,11,14,7,32,11,6,7,69,17,68,4,29,5,31,6,28,9,15,3
August,20,7,21,9,11,15,41,12,6,13,80,5,82,3,21,9,31,5,32,7,13,4
September,22,9,20,11,8,6,32,9,5,8,81,17,108,0,32,6,26,4,31,13,13,3
October,25,18,33,7,12,12,35,18,5,3,88,16,93,4,28,9,30,5,28,7,5,6