,Albany,Big Horn,Campbell,Carbon,Converse,Crook,Fremont,Goshen,Hot Springs,Johnson,Laramie,Lincoln,Natrona,Niobrara,Park,Platte,Sheridan,Sublette,Sweetwater,Teton,Uinta,Washakie,Weston
January,3.072732253,0.112877303,19.95333326,-9.413539745,-1.59859382,1.012437895,3.672775867,3.85266394,4.992955591,3.83986923,12.50322894,-1.424187348,23.55883872,-1.133450524,5.734070058,-0.89377324,-1.305003477,-0.71791169,2.518733723,-2.512118713,6.631822446,-1.766363656,1.647193332
February,5.436643923,-3.022971016,33.18473474,-20.70329849,-8.037011316,0.028250683,5.410918886,8.969340852,5.620374749,4.055293301,2.858324538,-3.419840887,42.86478266,0.447819836,-2.748015234,-2.921029929,-5.684970273,-0.675099216,8.986981671,-5.109196916,3.62465402,0.728624137,5.138624404
March,7.743715169,-3.204939084,41.17562089,-19.922465,-7.867483705,-0.979519254,10.31227278,9.755297147,2.886695094,5.788724613,-17.37681461,-8.56988605,36.7327697,2.305272332,-2.687923119,-4.389214191,-2.927488916,-3.075595933,19.01860853,-1.660327628,7.250430182,1.074352429,9.689264387
April,17.06025532,-1.265355697,53.75877328,-28.77964255,-4.20423014,0.083498075,11.14565967,11.3576783,0.736817204,3.316317182,-16.91094499,-4.777544814,37.88640938,2.859143476,-2.368441743,1.780365104,-5.32329619,-6.549038361,22.26676787,-5.142700524,14.70988365,6.102492956,8.378584064
May,18.36411609,-6.407445281,62.8851825,-42.76275775,-6.033850715,4.098964337,18.81470364,10.08886611,1.440580587,-1.861842264,-20.62281822,-2.064176322,25.05989011,1.719321326,-0.347028695,2.021250178,-7.750653217,-5.15264635,27.23523648,-9.464009061,22.31748203,7.372727103,8.81964843
June,16.7032881,-7.617369239,81.07912603,-49.04040259,-3.632269626,2.161766213,12.62375702,11.37719843,4.327051187,-4.160480591,-25.53529585,3.506118003,32.87287622,1.007039964,4.064239669,0.681383494,-16.43233416,-4.808840812,35.20570012,-11.81711857,20.74581941,12.58114776,7.225006218
July,19.1408877,-2.73548162,97.55125995,-58.28257707,2.840131531,5.17723394,14.36942408,13.21593536,4.861755247,-3.941404587,-31.10691226,10.28051416,23.37967402,3.026748458,11.32396462,-0.62581793,-10.86850645,-3.473220852,40.04079438,-11.07129985,25.37681902,9.761400674,8.860107768
August,23.52733981,-6.977884668,108.7216931,-70.51246217,6.072515074,14.48032372,26.54220854,15.52564647,5.746427101,2.284893926,-23.44247626,4.768881439,35.05271091,4.303034562,11.25824885,2.860543338,-6.296239311,-3.113560628,49.82449963,-12.51633308,26.83610036,7.165555742,8.074994394
September,29.92134984,-9.2640143,118.916193,-78.7199416,6.826541142,16.53122032,28.24214033,14.54802237,5.266360489,3.527403193,-29.81058849,9.63068088,67.69619818,2.23715967,19.94144283,3.464211987,-8.723896642,-2.863850585,59.08418971,-7.721759248,30.20087159,3.924182833,13.53460292
October,34.32281668,-6.905902599,140.4959278,-91.04812108,10.49400703,23.59368272,33.96760542,22.87618798,5.321762383,-1.252757839,-17.72036272,12.91936939,84.05382496,3.90322419,25.41535299,5.40711159,-6.392854859,-2.279597871,65.1064518,-8.997545655,23.63768876,4.05349056,15.08681809